id,dzcode,coord_long,coord_lat,pos_x,pos_y,cityname_chn,cityname_eng,cpop2000,cpop2010,upop2000,upop2010,cityclass
237,5118,102.93,29.940001,5627,5887,雅安市,Yaan,152.2845,150.72639,35.517101,52.176399,3
238,5119,106.68,31.83,6345,5507,巴中市,Bazhong,328.92459,328.37711,40.619999,93.470802,3
239,5120,104.65,30.120001,5952,5867,资阳市,Ziyang,469.7674,366.50641,78.041199,112.6046,4
240,5201,106.63,26.65,6297,6644,贵阳市,Guiyang,371.84491,432.45609,227.47121,293.22849,4
241,5203,106.87,27.629999,6350,6431,遵义市,Zunyi,654.38599,612.70093,150.2148,214.56149,4
242,5301,102.73,25.049999,5510,6951,昆明市,Kunming,578.12939,643.20001,317.638,433.77979,5
243,5303,103.78,25.450001,5724,6878,曲靖市,Qujing,546.60889,585.5,102.9608,229.79379,4
244,5304,102.51,24.33,5455,7104,玉溪市,Yuxi,207.30051,230.39999,57.768101,96.880501,3
245,5305,99.169998,25.1,4806,6876,保山市,Baoshan,234.8315,250.60001,23.256901,57.205299,3
246,5306,103.72,27.290001,5738,6477,昭通市,Zhaotong,459.2388,521.29999,51.362099,97.528397,3
247,5307,100.23,26.879999,5054,6512,丽江市,Lijiang,112.6646,124.5,18.420401,35.575001,2
248,5308,101.68,23.4,5272,7291,思茅市,Simao,248.03461,254.3,45.378502,66.933998,3
249,5309,100.05,23.83,4952,7169,临沧市,Lincang,233.257,243,21.2635,59.120499,3
250,6101,108.93,34.27,6764,4977,西安市,XiAn,727.48322,846.78369,408.47589,584.27039,6
251,6102,108.93,34.900002,6766,4838,铜川市,Tongchuan,79.260002,83.443703,40.395599,48.305801,2
252,6103,107.13,34.369999,6444,4949,宝鸡市,Baoji,359.42151,371.6731,105.5647,153.8015,4
253,6104,108.7,34.330002,6723,4964,咸阳市,Xianyang,488.60031,469.46341,161.8288,206.3586,4
254,6105,109.5,34.5,6866,4927,渭南市,Weinan,529.21997,528.60773,114.3636,166.9297,4
255,6106,109.46,36.580002,6862,4467,延安市,YanAn,201.6787,218.7009,57.802299,105.7289,4
256,6107,107.02,33.07,6416,5236,汉中市,Hanzhong,341.1044,341.6196,92.3993,126.6588,4
257,6108,109.73,38.279999,6909,4091,榆林市,Yulin2,313.80399,335.14371,69.163902,158.8868,4
258,6109,109.02,32.68,6777,5329,安康市,Ankang,261.39139,262.9906,48.694,90.982803,3
259,6110,109.93,33.869999,6942,5067,商洛市,Shangluo,234.5437,234.17419,38.158699,64.010399,3
260,6201,103.85,36,5883,4563,兰州市,Lanzhou,314.25229,361.6163,207.09,275.8558,4
261,6202,98.269997,39.799999,5014,3641,嘉峪关市,Jiayuguan,15.9541,23.185301,13.6465,21.6362,2
262,6203,102.17,38.450001,5634,4002,金昌市,Jinchang,45.157001,46.404999,24.481899,28.817101,2
263,6204,104.22,36.549999,5955,4445,白银市,Baiyin,171.9735,170.87511,45.802601,67.284599,3
264,6205,105.72,34.580002,6195,4894,天水市,Tianshui,321.93231,326.25479,57.237598,91.8237,3
265,6206,102.64,37.900002,5704,4129,武威市,Wuwei,183.69859,181.5054,37.000801,49.934601,2
266,6207,100.45,38.93,5355,3871,张掖市,Zhangye,125.1754,119.9515,34.830898,41.411301,2
267,6208,106.65,35.459999,6367,4705,平凉市,Pingliang,206.71021,206.8033,29.812099,59.7006,3
268,6209,98.519997,39.75,5054,3657,酒泉市,Jiuquan,98.049202,109.5947,49.5481,55.519501,3
269,6210,107.63,35.73,6540,4651,庆阳市,Qingyang,242.09599,221.11909,31.692301,52.278,3
270,6211,104.62,35.580002,6012,4663,定西市,Dingxi,282.0249,269.86221,25.718399,62.501099,3
271,6212,104.92,33.400002,6040,5148,陇南市,Longnan,258.54791,256.77179,21.1164,49.058201,2
272,6301,101.77,36.560001,5532,4413,西宁市,Xining,184.9713,220.8708,102.475,140.68941,4
273,6401,106.3,38.439999,6330,4044,银川市,Yinchuan,117.7613,199.30881,65.426102,144.5405,4
274,6402,106.4,39,6352,3921,石嘴山市,Shizuishan,67.537804,72.548203,40.684101,49.799599,2
275,6403,106.23,37.98,6314,4145,吴忠市,Wuzhong,190.6041,127.3792,56.319901,48.032001,2
276,6404,106.26,36.049999,6303,4572,固原市,Guyuan,172.7361,122.8156,15.5727,27.946199,2
277,6405,105.23,37.52,6140,4240,中卫市,Zhongwei,152.0155,108.0832,17.766939,31.8839,2
278,6501,87.620003,43.82,3475,2479,乌鲁木齐市,Urumqi,208.1834,311.02802,173.8876,286.53949,4
279,6502,84.870003,45.599998,3154,2001,克拉玛依市,Karamay,27.023199,39.1008,27.023199,35.329899,2
