origin,destination,year_1994,year_1995,year_1996,year_1997,year_1998,year_1999,year_2000,year_2001,year_2002,year_2003,year_2004,year_2005,year_2006,year_2007,year_2008,year_2009,year_2010,year_2011,year_2012,year_2013,year_2014,year_2015,year_2016,year_2017,year_2018,year_2019,year_2020,year_2021,year_2022,year_2023,year_2024
1311,4312,19.6026900005373,19.25462028502,19.25462028502,19.25462028502,19.1714968178753,19.1714968178753,19.1714968178753,19.1714968178753,17.9584085732227,17.9561820932786,17.4568243879023,16.945011448187,16.9393328970774,16.6193411309791,16.1445291640155,14.372711658589,14.372711658589,14.372711658589,13.3450851436115,13.3450851435139,13.338631153941,13.338631153941,13.338631153941,13.338631153941,13.3386311538779,13.3386311538779,13.3386311538779,13.3386311538779,13.3322440355512,13.3322440355512,13.0224891327581
1401,4312,18.9103348346459,18.9082841627696,18.9082841627696,18.9082841627696,18.9082841627696,18.9082841627696,18.9082841627696,18.9082841627696,18.1193753607234,17.9612170595699,17.3070823757866,16.2298565348775,16.2250274301127,16.168634060726,15.6938220937624,13.2674149913995,13.2674149913995,13.2674149913995,13.0418066078563,13.0317895001675,13.0253355105946,13.0253355105946,13.0253355105946,13.0253355105946,13.0253355105946,13.0253355105946,13.0253355105946,13.0253355105946,13.0026307395307,13.0026307395307,12.6928758367438
1402,4312,22.3229031575295,22.3181282334532,22.3181282334532,22.3181282334532,22.2496858153833,22.2496858153833,22.2496858153833,22.2496858153833,20.7638191586194,20.6056608574658,19.9341405917539,18.8936469603432,18.8888178555783,18.8324244861917,18.3576125192281,15.9312054168652,15.9312054168652,15.9312054168652,15.7047475911531,15.6947304834643,15.6882764937789,15.6882764937789,15.6882764937789,15.6882764937789,15.686049834998,15.686049834998,15.686049834998,15.686049834998,15.6633450639342,15.6633450639342,15.3535901611473
1403,4312,19.4557382720495,19.4524863053852,19.4149918970719,19.4149918970719,18.6749283928999,18.6749283928999,18.6749283928999,18.6749283928999,17.5003162912275,17.4980898112834,16.9987321059071,16.9987321058191,16.9939030010543,16.9375096316262,16.4626976646626,14.3068935777251,14.3068935777251,14.3068935777251,13.7604562079859,13.7495896572429,13.6117074074655,13.6117074074655,13.6051623071499,13.6051623071499,13.6051623071499,13.6051623071499,13.6051623071499,13.6051623071499,13.5548010067099,13.5548010067099,13.245046103923
1404,4312,16.3322029416783,16.330152269802,16.330152269802,16.330152269802,16.330152269802,16.330152269802,16.330152269802,16.330152269802,15.575886141176,15.4177278400225,14.9183701346462,14.6805450922745,14.6757159875097,14.619322618123,14.1445106511594,11.7181035487965,11.7181035487965,11.7181035487965,11.4924951652533,11.4824780575681,11.4760240679951,11.4760240679951,11.4760240679951,11.4760240679951,11.4760240679951,11.4760240679951,11.4760240679951,11.4760240679951,11.4537591111055,11.4537591111055,11.1440042083186
1405,4312,15.3291105042443,15.327059832368,15.327059832368,15.327059832368,15.327059832368,15.327059832368,15.327059832368,15.327059832368,14.572793703742,14.4146354025884,13.9152776972121,13.9152776971241,13.9104485923593,13.8540552229726,13.379243256009,10.9063876159721,10.9063876159721,10.9063876159721,10.6807792324288,10.6707621247436,10.6643081351707,10.6643081351707,10.6643081351707,10.6643081351707,10.6643081351707,10.6643081351707,10.6643081351707,10.6643081351707,10.6420431782811,10.6420431782811,10.3322882754942
1406,4312,23.787528763817,23.7827538397406,23.7827538397406,23.7827538397406,23.7143114216707,23.7143114216707,23.7143114216707,23.7143114216707,22.8546023791491,22.6964440779955,19.5689091771202,18.5284155457094,18.5235864409446,18.467193071558,17.9923811045944,15.5659740022315,15.5659740022315,15.5659740022315,15.3395161765193,15.3294990688306,15.3230450791451,15.3230450791451,15.3230450791451,15.3230450791451,15.3208184203643,15.3208184203643,15.3208184203643,15.3208184203643,15.0402336548154,15.0402336548154,14.7304787520285
1407,4312,19.2477133722234,19.2456627003471,19.2456627003471,19.2456627003471,19.2456627003471,19.2456627003471,19.2456627003471,19.2456627003471,18.4913965717211,18.3332382705676,17.6791035867843,16.671225066848,16.6663959620832,16.6100025926965,16.1351906257329,13.70878352337,13.70878352337,13.70878352337,12.9685174343943,12.9585003267055,12.9520463371326,12.9520463371326,12.9520463371326,12.9520463371326,12.9520463371326,12.9520463371326,12.9520463371326,12.9520463371326,12.9088591885303,12.9088591885303,12.5991042857434
1408,4312,16.1044240507553,16.1033987410781,16.1033987410781,16.1033987410781,16.1033987409228,16.1033987409228,15.8999235953694,15.8999235953694,15.0336162645658,15.0336162645658,14.8472693379515,14.8472693379515,14.7657781256726,14.0590542124764,14.0590542124764,11.3952009174234,11.3952009174234,11.3952009174234,11.1695925337237,11.1595754260385,11.1531214364655,11.1531214364655,11.1531214364655,11.1531214364655,10.6211258741554,10.6211258741554,10.6211258741554,10.6211258741554,10.6147387558287,10.6147387558287,10.3049838530418
1409,4312,19.8742876146862,19.8695126906098,19.8695126906098,19.8695126906098,19.8226132597075,19.8226132597075,19.8226132597075,19.8226132597075,18.9894523356711,18.8312940345176,18.1597737688057,17.119280137395,17.1144510326301,17.0580576632435,16.5832456962798,14.156838593917,14.156838593917,14.156838593917,13.9303807682048,13.9203636605161,13.9139096709431,13.9139096709431,13.9139096709431,13.9139096709431,13.9116830121623,13.9116830121623,13.9116830121623,13.9116830121623,13.8889782410985,13.8889782410985,13.5792233383116
