seg_id,long,lat,pos_x,pos_y,index,speed,time,usage_type,terrain
rail_621,117.431626829533,36.651137843462,8239,4404,72737706,250,0.00203867612241821,passenger,1
rail_621,117.437830367406,36.6553083440532,8240,4403,72746534,250,0.00203867614365339,passenger,1
rail_621,117.444034579353,36.6594785443506,8241,4402,72755362,250,0.00203867616475839,passenger,1
rail_621,117.450239465435,36.6636484443272,8242,4401,72764190,250,0.00203867618573162,passenger,1
rail_621,117.456445025715,36.6678180439566,8243,4400,72773018,250,0.00203867620657281,passenger,1
rail_621,117.462651260253,36.6719873432118,8244,4399,72781846,250,0.00203867622727902,passenger,1
rail_621,117.468858169111,36.6761563420662,8245,4398,72790674,250,0.00203867624785423,passenger,1
rail_621,117.474626145393,36.6758203014539,8246,4398,72799503,250,0.00203867626307816,passenger,1
rail_621,117.480834014761,36.6799887212615,8247,4397,72808331,250,0.00203867628354597,passenger,1
rail_621,117.487042558554,36.6841568405841,8248,4396,72817159,250,0.0020386763038797,passenger,1
rail_621,117.493251776835,36.6883246593949,8249,4395,72825987,250,0.00203867632408329,passenger,1
rail_621,117.499461669664,36.692492177667,8250,4394,72834815,250,0.00203867634415774,passenger,1
rail_621,117.505672237103,36.6966593953737,8251,4393,72843643,250,0.00203867636409417,passenger,1
rail_621,117.511883479213,36.7008263124881,8252,4392,72852471,250,0.0020386763838998,passenger,1
rail_621,117.518095396055,36.7049929289833,8253,4391,72861299,250,0.00203867640357272,passenger,1
rail_621,117.524307987692,36.7091592448326,8254,4390,72870127,250,0.00203867642311479,passenger,1
rail_621,117.530521254183,36.713325260009,8255,4389,72878955,250,0.00203867644252292,passenger,1
rail_621,117.536735195591,36.7174909744857,8256,4388,72887783,250,0.00203867646180228,passenger,1
rail_621,117.542949811977,36.7216563882358,8257,4387,72896611,250,0.00203867648094137,passenger,1
rail_621,117.549165103401,36.7258215012322,8258,4386,72905439,250,0.00203867649995484,passenger,1
rail_621,117.555381069926,36.7299863134483,8259,4385,72914267,250,0.00203867651883209,passenger,1
rail_621,117.561597711613,36.7341508248569,8260,4384,72923095,250,0.002038676537581,passenger,1
rail_621,117.567815028523,36.7383150354312,8261,4383,72931923,250,0.00203867655619246,passenger,1
rail_621,117.5735872437,36.7379745532108,8262,4383,72940752,250,0.00203867657180748,passenger,1
rail_621,117.579805521718,36.7421381838326,8263,4382,72949580,250,0.002038676590313,passenger,1
rail_621,117.586024475065,36.7463015135353,8264,4381,72958408,250,0.00203867660868691,passenger,1
rail_621,117.592244103801,36.7504645422921,8265,4380,72967236,250,0.00203867662692512,passenger,1
rail_621,117.598017124979,36.7501229635772,8266,4380,72976065,250,0.00203867664263019,passenger,1
rail_621,117.604237714891,36.7542854121661,8267,4379,72984893,250,0.0020386766607629,passenger,1
rail_621,117.610458980298,36.7584475597241,8268,4378,72993721,250,0.00203867667876504,passenger,1
rail_621,117.616680921261,36.7626094062242,8269,4377,73002549,250,0.00203867669663604,passenger,3
rail_621,117.622454747962,36.762266730673,8270,4377,73011378,250,0.00203867671242264,passenger,3
rail_621,117.628677650167,36.7664279967897,8271,4376,73020206,250,0.00203867673018261,passenger,3
rail_621,117.634901228034,36.7705889617636,8272,4375,73029034,250,0.00203867674781126,passenger,4
rail_621,117.641125481622,36.7747496255677,8273,4374,73037862,250,0.00203867676530754,passenger,4
rail_621,117.646900113367,36.7744058528382,8274,4374,73046691,250,0.00203867678118625,passenger,4
rail_621,117.653125328265,36.778565936043,8275,4373,73055519,250,0.00203867679857252,passenger,4
rail_621,117.659351218989,36.782725717993,8276,4372,73064347,250,0.00203867681583027,passenger,4
rail_621,117.665126369854,36.7823811272184,8277,4372,73073176,250,0.00203867683176852,passenger,4
rail_621,117.67135322191,36.7865403284111,8278,4371,73082004,250,0.00203867684891826,passenger,4
rail_621,117.677580749898,36.7906992282639,8279,4370,73090832,250,0.00203867686593646,passenger,4
rail_621,117.683808953878,36.7948578267496,8280,4369,73099660,250,0.00203867688281799,passenger,4
rail_621,117.689584908926,36.7945121382163,8281,4369,73108489,250,0.002038676898844,passenger,3
rail_621,117.695814074304,36.7986701557286,8282,4368,73117317,250,0.00203867691562072,passenger,3
rail_621,117.702043915779,36.8028278717888,8283,4367,73126145,250,0.00203867693226633,passenger,3
rail_621,117.708274433412,36.8069852863694,8284,4366,73134973,250,0.00203867694877677,passenger,3
rail_621,117.714051192162,36.8066384997351,8285,4366,73143802,250,0.00203867696489236,passenger,3
rail_621,117.720282671258,36.8107953331262,8286,4365,73152630,250,0.00203867698129417,passenger,1
rail_621,117.726514826617,36.8149518649525,8287,4364,73161458,250,0.00203867699756599,passenger,1
rail_621,117.732292103425,36.814604259631,8288,4364,73170287,250,0.00203867701374189,passenger,1
rail_621,117.738525220268,36.8187602101093,8289,4363,73179115,250,0.0020386770299097,passenger,1
rail_621,117.744759013478,36.8229158589374,8290,4362,73187943,250,0.00203867704594004,passenger,1
rail_621,117.750536808046,36.8225674347634,8291,4362,73196772,250,0.00203867706217835,passenger,1
rail_621,117.756771562761,36.8267225020851,8292,4361,73205600,250,0.00203867707810402,passenger,1
rail_621,117.762549589776,36.8263735387646,8293,4361,73214429,250,0.0020386770943795,passenger,1
rail_621,117.768785305975,36.8305280244794,8294,4360,73223257,250,0.00203867711019594,passenger,1
rail_621,117.774563565284,36.8301785219623,8295,4360,73232086,250,0.00203867712650675,passenger,1
rail_621,117.780800242945,36.8343324259699,8296,4359,73240914,250,0.00203867714222091,passenger,1
rail_621,117.786578734398,36.8339823842061,8297,4359,73249743,250,0.00203867715856763,passenger,1
rail_621,117.792357173009,36.8336320831127,8298,4359,73258572,250,0.00203867717492595,passenger,1
rail_621,117.798595096943,36.8377851253455,8299,4358,73267400,250,0.00203867719055724,passenger,1
rail_621,117.80437376746,36.8374342849476,8300,4358,73276229,250,0.00203867720695103,passenger,1
rail_621,117.810612652744,36.84158674523,8301,4357,73285057,250,0.00203867722247467,passenger,1
rail_621,117.816391555015,36.8412353654777,8302,4357,73293886,250,0.0020386772389073,passenger,1
rail_621,117.822631401628,36.8453872437092,8303,4356,73302714,250,0.00203867725432078,passenger,1
rail_621,117.828410535502,36.8450353245524,8304,4356,73311543,250,0.0020386772707911,passenger,1
rail_621,117.834189616237,36.8446831460461,8305,4356,73320372,250,0.00203867728726858,passenger,1
rail_621,117.839968643795,36.8443307081941,8306,4356,73329201,250,0.00203867730376047,passenger,1
rail_621,117.846210020844,36.8484814440527,8307,4355,73338029,250,0.00203867731912265,passenger,1
rail_621,117.85198927968,36.8481284667306,8308,4355,73346858,250,0.00203867733564603,passenger,1
