seg_id,long,lat,pos_x,pos_y,index,speed,time,usage_typ,terrain
road_1,121.459204375976,31.2198299307542,9072,5531,80093390,120,0.00512663598063438,both,1
road_1,121.463940662293,31.2148055285989,9073,5532,80102220,120,0.00512663562475981,both,1
road_1,121.468676372152,31.2097808998697,9074,5533,80111050,120,0.00512663526882807,both,1
road_1,121.468047522496,31.2052735650725,9074,5534,80111051,120,0.00512663491858287,both,1
road_1,121.472782435782,31.2002486998559,9075,5535,80119881,120,0.00512663456256939,both,1
road_1,121.472153434599,31.1957413205503,9075,5536,80119882,120,0.00512663421231043,both,1
road_1,121.476887551538,31.1907162187699,9076,5537,80128712,120,0.00512663385622409,both,1
road_1,121.481621092393,31.1856908903621,9077,5538,80137542,120,0.00512663350007468,both,1
road_1,121.480991719734,31.1811834564328,9077,5539,80137543,120,0.00512663314979097,both,1
road_1,121.480362415763,31.1766759878035,9077,5540,80137544,120,0.0051266327995274,both,1
road_1,121.485094940685,31.1716504126658,9078,5541,80146374,120,0.00512663244329198,both,1
road_1,121.253999993406,31.3490130043121,9031,5507,79731377,120,0.00512664457895146,both,1
road_1,121.248625257387,31.3495205569499,9030,5507,79722548,120,0.00512664458344501,both,1
road_1,121.243250455177,31.3500278677801,9029,5507,79713719,120,0.00512664458792787,both,1
road_1,121.237875586806,31.3505349367986,9028,5507,79704890,120,0.0051266445923931,both,1
road_1,121.370731070805,31.2876943811068,9054,5518,79934455,120,0.00512664062649166,both,1
road_1,121.375476640767,31.2826740093056,9055,5519,79943285,120,0.00512664027168631,both,1
road_1,121.374852327792,31.2781666880974,9055,5520,79943286,120,0.00512663992195819,both,1
road_1,121.380846235562,31.2821607075365,9056,5519,79952114,120,0.00512664026657891,both,1
road_2,113.134854276406,22.941702405376,7593,7450,67037218,120,0.00512675513141798,both,1
road_2,113.135010986939,22.946332457493,7593,7449,67037217,120,0.00512675417551291,both,1
road_2,113.135167713134,22.9509624364054,7593,7448,67037216,120,0.00512675322116764,both,1
road_2,113.135324454995,22.9555923421359,7593,7447,67037215,120,0.00512675226838166,both,1
road_2,113.135481212524,22.9602221747073,7593,7446,67037214,120,0.00512675131715164,both,1
road_2,113.140549504765,22.9647071090492,7594,7445,67046042,120,0.0051267503974172,both,1
road_2,113.140706538897,22.969336790411,7594,7444,67046041,120,0.00512674944924883,both,1
road_2,113.145775582937,22.9738213369866,7595,7443,67054869,120,0.00512674853252144,both,1
road_2,113.15084511789,22.9783055738656,7596,7442,67063697,120,0.00512674761729525,both,1
road_2,113.155757326578,22.9781600538271,7597,7442,67072526,120,0.00512674764722758,both,1
road_2,113.160827582362,22.9826437493259,7598,7441,67081354,120,0.00512674673349203,both,1
road_2,113.165740005448,22.9824977709137,7599,7441,67090183,120,0.00512674676346941,both,1
road_2,113.170810982074,22.98698092499,7600,7440,67099011,120,0.00512674585124097,both,1
